customer_state,review_score
AC,4.049382716049383
AL,3.751207729468599
AM,4.183673469387755
AP,4.1940298507462686
BA,3.8608876973488235
CE,3.851015801354402
DF,4.064711359404097
ES,4.041666666666667
GO,4.042490118577075
MA,3.7640750670241285
MG,4.1361720430107525
MS,4.1187845303867405
MT,4.102990033222591
PA,3.8491735537190084
PB,4.018832391713747
PE,4.011543134872418
PI,3.920570264765784
PR,4.180031758634379
RJ,3.8749706227967096
RN,4.105809128630705
RO,4.051587301587301
RR,3.608695652173913
RS,4.1333211745394856
SC,4.071763731714049
SE,3.8080229226361033
SP,4.173950587670904
TO,4.096774193548387
